trial_number,validation_loss,dict_size,learning_rate
0,0.003502726686102423,34.4,0.00010529221947073176
9,0.003354985106059096,34.4,0.00013251153850753257
6,0.013815270618281581,17.2,0.0001150053839760364
3,0.0005161539058793675,34.4,0.0006455169087402403
1,0.0016866796755824578,25.8,0.0005151481546760201
5,0.0014452513138001615,34.4,0.00018925821766305908
7,0.03131874572824348,17.2,0.0008120617777479544
4,0.015199109674854713,17.2,0.00046186357162856275
8,0.004785812332887541,25.8,0.0012398875758796823
2,0.01245393952862783,17.2,0.0004348316120675477
10,0.0037977788597345352,25.8,0.0002692168760918965
11,0.0007685048823160204,34.4,0.004201733369662854
12,0.00675976863977584,25.8,0.002154604393956818
13,0.0028006910198283465,25.8,0.001029647125582784
14,0.28991179872642864,17.2,0.009003685777093864
15,0.006355904931710525,25.8,0.00011599225294617136
16,0.10646209567785263,17.2,0.0043753605478732745
17,0.0006781544927930967,34.4,0.0004752644741596588
20,0.001527637035839937,34.4,0.004294855751238997
18,0.6092104798013513,17.2,0.0067384309475961544
21,0.0016014882913705977,34.4,0.005196733006512224
22,0.005666652249849655,34.4,0.009095701190166791
23,0.0030495884637771684,34.4,0.008337399802096645
24,0.0007986847946250981,34.4,0.004150859700023456
25,0.0010772461505522105,34.4,0.004124736727320424
26,0.0012817046647383408,34.4,0.0024988296637476607
19,0.012570717964660038,34.4,0.005452940780586588
27,0.0007164819081398574,34.4,0.0002778181483640867
28,0.0005259381040973081,34.4,0.0016401612965229596
30,0.0022902027386325326,34.4,0.0020133074077490743
31,0.0003458109226564623,34.4,0.0019076185294149817
32,0.0005892789832697335,34.4,0.002102938175928722
33,0.0006836791332303123,34.4,0.001922055937111766
29,0.000979478322816166,34.4,0.0022992829689229594
34,0.00046054874546825887,34.4,0.001897410866137889
35,0.0005945888136259535,34.4,0.00071412067532009
38,0.0004244455729018558,34.4,0.001494992380957917
39,0.0005897333205211908,34.4,0.0006784877544949178
40,0.0006579541691197929,34.4,0.0014896841775102036
37,0.0009974061606705866,34.4,0.0002917620404323365
41,0.0007351143391464244,34.4,0.0017112673423372098
36,0.0004684998256958682,34.4,0.0015436436818445573
42,0.0007172442454082722,34.4,0.0013933962191512294
44,0.0006509135503702881,34.4,0.000664841077473549
43,0.00045256704959849064,34.4,0.0007501486279971284
46,0.001188033981121738,34.4,0.003087767819461128
45,0.0005725205251523716,34.4,0.0014557103103347605
47,0.000997733825352043,34.4,0.0029408474058860642
48,0.0011860534950921481,34.4,0.0031321669760614157
49,0.0005612793415573172,34.4,0.0032803826433819238
