trial_number,validation_loss,dict_size,k,learning_rate
1,0.00042144963359036904,172,36,0.0013600945287639183
4,0.0005471716592596336,344,90,0.004234267713003789
8,0.0021287415917454794,86,17,0.000529542068320106
0,0.00023947573949540543,344,57,0.0009425114689195028
9,0.004342623838138851,86,12,0.0027010082984996082
7,0.0006993684801273048,172,49,0.0002598907495547724
3,0.0011646592333404856,172,26,0.007820728564836567
6,0.007644537920978936,86,10,0.001482123659153314
10,0.0003334701542784883,344,39,0.0028546180428582453
11,0.00024366235315524548,344,63,0.0015217445248724736
2,0.008982737684114412,86,10,0.0009865189342570975
12,0.0007361992516300895,344,93,0.006975465129852141
13,0.03671976527707143,86,10,0.00012138028524913744
14,0.00024005610612221062,344,70,0.0005117046813151568
5,0.012998364002189853,86,9,0.00601211294408423
15,0.01394107500937852,86,9,0.002614775564143271
16,0.0004092313592660833,172,30,0.00246146333969722
18,0.0012012129395522855,172,36,0.009814598192160639
19,0.0013170718956230715,344,83,0.00010023771216670204
21,0.0013452599428340115,344,59,0.00012791879428863403
22,0.0003371920632410117,344,58,0.0005135133237210252
17,0.0005232587350871076,172,29,0.0033360982770276357
23,0.00019396916243501685,344,80,0.0004884424277318191
25,0.00022440166186160323,344,82,0.0004975508343202569
27,0.00022390217319215563,344,81,0.0005102355361154448
20,0.001481085109778426,344,59,0.0001270800798613443
28,0.0003804997334637764,344,56,0.0005195746742487543
29,0.0002438175560779531,344,80,0.0005871857335465569
26,0.0002352660545677116,344,79,0.0005180793960270674
30,0.00019823311515872113,344,79,0.0006305175939516715
32,0.00019562893007373945,344,79,0.000607936743254753
34,0.00037508326773108406,344,79,0.0003143532455027661
31,0.0001865487482229417,344,81,0.0006644044881695133
36,0.00034428001302082767,344,80,0.00030635803503157433
24,0.0002198829148917205,344,81,0.0005134618412605024
33,0.0003147573726230555,344,82,0.0003125753437499524
37,0.00032484055793082173,344,79,0.0002810056697593537
39,0.00038091586373577063,344,87,0.00025759480932688176
38,0.0003251088087298823,344,86,0.0002922221110613608
40,0.00031201855004341767,344,87,0.00032502207050160787
41,0.00033290685043373906,344,87,0.00032147256715607075
35,0.00036764920329336413,344,79,0.0002900933577316389
43,0.00018123663877221672,344,86,0.000784511135216832
46,0.00020549078075088223,344,88,0.0007855917625629036
45,0.00019636426851238039,344,86,0.0007810964449363782
42,0.00020136506857604464,344,86,0.0008687159880162563
47,0.00017718566880582578,344,75,0.0008032732769794039
44,0.00017166344808753242,344,88,0.0007904517427323992
49,0.00024495028985918246,172,46,0.0008314258505288528
48,0.00016640165492638268,344,74,0.0007796532970100893
9,0.1539609429511157,34,6,0.0001296128520133058
8,0.16506314006718723,25,5,0.004220549866646087
0,0.04415371252054518,34,8,0.00024547172201296264
3,2.003225844556635,17,1,0.0007868310336193565
10,0.3634604562412609,17,3,0.0029211277288068668
11,0.016541800986636768,34,10,0.008408343384470723
4,0.024495163576846772,34,10,0.00025285796378113877
12,0.11335414092649113,25,6,0.0076914175967394615
13,0.029925014891407708,34,9,0.00029102129425220954
14,2.432322955131531,17,1,0.0003672999134100963
15,0.23552142706784335,25,4,0.0043969389518788106
17,0.16498532566157253,17,5,0.0038630955105945835
5,0.2239091924645684,34,4,0.0002000432466221778
19,0.030673844197934324,34,7,0.0016165713696456145
20,0.014446282725442539,34,10,0.001576990518897584
18,0.06534774628552524,34,6,0.0006950560664355455
16,0.23535562618212266,25,4,0.005694105640724049
21,0.012339421615681865,34,10,0.0012502190430922413
23,0.01957705103876916,34,10,0.0007348792114077308
24,0.07283592745661735,34,7,0.009880287813620214
25,0.06938822892579165,34,7,0.009029427309508295
27,0.04250934980809688,34,7,0.0015281475252825827
28,0.03556982322850011,34,7,0.0015946204250984076
29,0.02085229376838966,34,9,0.001653876365829577
26,0.04222294559532946,34,7,0.0018411072322641647
6,0.22229758040471512,25,4,0.00013482040735404767
31,0.01801344770938158,34,9,0.0021063221401798134
32,0.01815504558723081,34,9,0.0023568730879957394
30,0.01662142507054589,34,9,0.001585843818932201
22,0.022197178294035523,34,10,0.0011891930283622456
33,0.01817946295169267,34,9,0.0004368008000545334
36,0.03162498281083324,34,8,0.0004686653144418605
37,0.22345085116949948,17,4,0.00046778771447903664
40,0.027881401269273326,34,8,0.0009825463537564056
38,0.16166733327237043,17,4,0.0011052622211142238
34,0.018931961872360924,34,9,0.0005121989076210461
42,0.016972063922069288,34,9,0.0010122420045875445
41,0.1456059763377363,17,4,0.0010189044968412016
43,0.026858592304316434,34,9,0.0011172081451579958
44,0.02143855724822391,34,9,0.0027650033333009813
46,0.021171190454201266,34,8,0.0028195369463577323
47,0.025765162909572776,34,8,0.003166326251220181
39,0.2292200503024188,17,4,0.0005060515980848859
45,0.014498898979615081,34,9,0.0026146283264279735
48,0.062122986262494864,25,6,0.003041130372747973
1,0.21578507802703165,34,4,0.00020346522447967902
35,0.015084999003870921,34,9,0.0024411409027257527
49,0.10190780379555442,25,6,0.00017157159070320624
2,0.1259223774075508,25,6,0.00010494561073846882
